Index,Name,Form,Pokemon Number,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Original Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Prod (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Prod (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Rank % (L),Rank # (L),Stat Prod (L),Dust Cost (L),Candy Cost (L),Name (L),Form (L),Sha/Pur (L),Marked for PvP use
17,Charmander,,4,,119,37,8,8,11,60.0,5.0,5.0,,,,"2026-09-25 00:36","2026-09-25 00:36",,,,0,0,0,600,55.56%,1821,95.33%,238600,279,Charmeleon,,0,53.92%,1888,96.01%,165600,287,Charizard,Normal,0,83.39%,681,95.67%,1800,128,Charizard,Normal,0,
18,Heatmor,,631,♀,126,39,3,3,8,31.1,2.5,2.5,,,,"2026-09-25 00:36","2026-09-25 00:36",,,,0,0,0,200,75.51%,1004,96.27%,71900,78,Heatmor,,0,15.31%,3469,91.56%,519400,301,Heatmor,,0,44.44%,2276,90.66%,5800,11,Heatmor,,0,
19,Wattrel,,940,,132,41,3,9,0,26.7,7.0,7.0,,,,"2026-09-25 00:36","2026-09-25 00:36",,,,0,0,0,200,72.11%,1143,95.48%,64200,116,Kilowattrel,,0,25.35%,3058,94.24%,515200,342,Kilowattrel,,0,72.36%,1133,94.27%,1600,52,Kilowattrel,,0,
20,Squirtle,,7,♂,134,43,3,12,9,53.3,6.0,6.0,,,,"2026-09-25 00:36","2026-09-25 00:36",,,,0,0,0,600,97.31%,111,97.58%,516400,319,Wartortle,,0,88.23%,483,97.55%,458400,419,Blastoise,Normal,0,97.75%,93,97.44%,49400,53,Squirtle,,0,
21,Blipbug,,824,♀,136,53,11,10,11,71.1,15.0,15.0,,,,"2026-09-25 00:36","2026-09-25 00:36",,,,0,0,0,1900,42.69%,2348,94.11%,48900,170,Orbeetle,,0,87.79%,501,94.27%,496400,393,Orbeetle,,0,36.04%,2620,90.78%,12000,37,Dottler,,0,
22,Smoliv,,928,♀,138,46,0,7,13,44.4,7.0,7.0,,,,"2026-09-25 00:35","2026-09-25 00:35",,,,0,0,0,800,60.83%,1605,94.90%,35200,165,Arboliva,,0,90.94%,372,97.90%,170200,291,Arboliva,,0,97.78%,92,97.31%,15600,45,Dolliv,,0,
23,Drifloon,,425,♂,139,62,8,2,8,40.0,5.0,5.0,,,,"2026-09-25 00:35","2026-09-25 00:35",,,,0,0,0,600,50.06%,2046,94.33%,70100,123,Drifblim,,0,19.49%,3298,90.30%,517600,346,Drifblim,,0,35.51%,2642,90.31%,4000,56,Drifblim,,0,
24,Caterpie,,10,♀,146,68,8,15,15,84.4,13.0,13.0,,,,"2026-09-25 00:35","2026-09-25 00:35",,,,0,0,0,1600,70.40%,1213,96.32%,97800,152,Butterfree,,0,97.61%,99,96.15%,502800,338,Butterfree,,0,90.84%,376,89.83%,502800,288,Metapod,,0,
25,Vanillite,,582,♀,147,38,4,8,7,42.2,6.0,6.0,,,,"2026-09-25 00:35","2026-09-25 00:35",,,,0,0,0,600,66.50%,1373,95.58%,366400,319,Vanillish,,0,71.50%,1168,96.91%,219400,353,Vanilluxe,,0,72.63%,1122,94.18%,38900,44,Vanillite,,0,
26,Shelmet,,616,,154,54,3,6,9,40.0,8.0,8.0,,,,"2026-09-25 00:35","2026-09-25 00:35",,,,0,0,0,15000,54.99%,1844,95.15%,59100,261,Accelgor,,0,78.27%,891,96.90%,513600,490,Accelgor,,0,91.75%,339,96.62%,0,200,Accelgor,,0,
27,Jynx,,124,♀,175,37,8,3,11,48.9,3.0,3.0,,,,"2026-09-25 00:35","2026-09-25 00:35",,,,0,0,0,400,53.75%,1895,94.94%,55200,62,Jynx,,0,51.28%,1996,96.10%,369200,300,Jynx,,0,89.23%,442,95.17%,4800,9,Jynx,,0,
28,Pidove,,519,♀,182,56,1,14,5,44.4,9.0,9.0,,,,"2026-09-25 00:35","2026-09-25 00:35",,,,0,0,0,1000,53.33%,1912,94.95%,39500,104,Unfezant,,0,87.94%,495,97.92%,252000,335,Unfezant,,0,97.75%,93,97.83%,64500,65,Pidove,,0,
29,Rookidee,,821,♀,184,57,6,10,14,66.7,11.0,11.0,,,,"2026-09-25 00:35","2026-09-25 00:35",,,,0,0,0,1300,60.34%,1625,95.24%,47000,174,Corviknight,,0,85.69%,587,97.25%,409000,409,Corviknight,,0,94.99%,206,96.46%,8400,37,Corvisquire,,0,
30,Lapras,,131,♀,185,60,9,15,2,57.8,3.0,3.0,,,,"2026-09-25 00:35","2026-09-25 00:35",,,,0,0,0,400,73.33%,1093,96.58%,49200,56,Lapras,,0,55.31%,1831,96.08%,269200,300,Lapras,,0,63.61%,1491,92.77%,4000,8,Lapras,,0,
31,Stoutland,,508,♂,188,43,3,5,2,22.2,3.0,3.0,,,,"2026-09-25 00:35","2026-09-25 00:35",,,,0,0,0,400,35.65%,2636,94.01%,46700,54,Stoutland,,0,39.34%,2485,95.54%,249200,270,Stoutland,,0,77.34%,929,94.60%,4000,8,Stoutland,,0,
32,Flabébé,,669,♀,190,45,12,10,3,55.6,7.0,7.0,,,,"2026-09-25 00:35","2026-09-25 00:35",,,,0,0,0,800,50.09%,2045,94.68%,26400,157,Florges,,0,35.56%,2640,95.13%,100700,223,Florges,,0,20.90%,3240,90.54%,9800,37,Floette,,0,
33,Kecleon,,352,♂,192,40,7,2,5,31.1,4.0,4.0,,,,"2026-09-25 00:35","2026-09-25 00:35",,,,0,0,0,400,50.40%,2032,94.47%,103900,104,Kecleon,,0,16.97%,3401,84.34%,518400,298,Kecleon,,0,68.21%,1303,93.39%,7400,11,Kecleon,,0,
34,Natu,,177,♂,196,43,7,15,5,60.0,7.0,7.0,,,,"2026-09-25 00:35","2026-09-25 00:35",,,,0,0,0,800,76.53%,962,96.13%,75200,125,Xatu,,0,75.43%,1007,90.97%,515200,342,Xatu,,0,84.22%,647,95.81%,2400,53,Xatu,,0,
35,Sprigatito,,906,♂,197,46,6,7,5,40.0,8.0,8.0,,,,"2026-09-25 00:35","2026-09-25 00:35",,,,0,0,0,800,63.52%,1495,95.58%,263600,315,Floragato,,0,48.03%,2129,95.94%,216600,349,Meowscarada,,0,54.65%,1858,92.29%,6900,33,Floragato,,0,
36,Duskull,,355,,199,39,11,12,5,62.2,11.0,11.0,,,,"2026-09-25 00:35","2026-09-25 00:35",,,,0,0,0,1300,31.53%,2805,93.62%,278000,309,Dusclops,,0,52.65%,1940,94.48%,464000,409,Dusknoir,,0,36.31%,2609,89.99%,84500,82,Duskull,,0,
37,Glameow,,431,♀,204,54,6,9,1,35.6,9.0,9.0,,,,"2026-09-25 00:35","2026-09-25 00:35",,,,0,0,0,1000,17.41%,3383,93.21%,107000,152,Purugly,,0,27.91%,2953,84.97%,512000,338,Purugly,,0,84.84%,622,95.63%,2000,52,Purugly,,0,
38,Litwick,,607,♂,207,56,9,8,13,66.7,8.0,8.0,,,,"2026-09-25 00:35","2026-09-25 00:35",,,,0,0,0,800,61.88%,1562,95.93%,183600,207,Lampent,,0,86.25%,564,97.08%,94600,217,Chandelure,,0,78.36%,887,94.37%,33600,38,Litwick,,0,
39,Grubbin,,736,♂,209,54,10,12,14,80.0,8.0,8.0,,,,"2026-09-25 00:35","2026-09-25 00:35",,,,0,1,0,961,67.96%,1313,96.17%,202338,249,Charjabug,,1,47.47%,2152,95.86%,118934,262,Vikavolt,,1,51.70%,1979,92.87%,5522,35,Charjabug,,1,
40,Poochyena,,261,,210,52,11,14,2,60.0,12.0,12.0,,,,"2026-09-25 00:35","2026-09-25 00:35",,,,0,0,0,1300,18.19%,3351,93.47%,90900,136,Mightyena,,0,76.04%,982,90.37%,505400,330,Mightyena,,0,20.42%,3260,89.12%,86400,82,Poochyena,,0,
41,Dratini,,147,♂,211,49,15,4,11,66.7,8.0,8.0,,,,"2026-09-25 00:35","2026-09-25 00:35",,,,0,1,0,961,22.34%,3181,93.66%,162736,203,Dragonair,,1,4.88%,3896,93.13%,70934,217,Dragonite,Normal,1,11.11%,3641,89.76%,37690,57,Dratini,,1,
42,Rattata,Alola,19,♀,214,54,7,1,15,51.1,12.0,12.0,,,,"2026-09-25 00:35","2026-09-25 00:35",,,,0,0,0,1300,48.60%,2106,94.88%,208400,239,Raticate,Alola,0,45.91%,2216,86.82%,505400,305,Raticate,Alola,0,60.20%,1631,92.75%,86400,82,Rattata,Alola,0,
43,Shellos,,422,,217,70,6,1,6,28.9,8.0,8.0,,,,"2026-09-25 00:35","2026-09-25 00:35",,,,0,0,0,800,21.95%,3197,93.48%,69600,120,Gastrodon,,0,11.28%,3634,88.20%,513600,340,Gastrodon,,0,79.80%,828,94.98%,800,51,Gastrodon,,0,
44,Cottonee,,546,♂,230,63,2,14,8,53.3,14.0,14.0,,,,"2026-09-25 00:35","2026-09-25 00:35",,,,0,0,0,1600,91.53%,348,97.04%,85100,128,Whimsicott,,0,52.26%,1956,88.35%,499600,322,Whimsicott,,0,95.51%,185,96.85%,104600,94,Cottonee,,0,
45,Gulpin,,316,♀,232,77,5,11,4,44.4,11.0,11.0,,,,"2026-09-25 00:35","2026-09-25 00:35",,,,0,0,0,1300,49.99%,2049,94.85%,98000,144,Swalot,,0,41.88%,2381,87.31%,508000,334,Swalot,,0,65.23%,1425,92.98%,53500,55,Gulpin,,0,
46,Nymble,,919,♀,234,60,7,5,3,33.3,17.0,17.0,,,,"2026-09-25 00:35","2026-09-25 00:35",,,,0,0,0,1600,49.40%,2073,94.79%,44800,90,Lokix,,0,17.24%,3390,88.64%,488800,310,Lokix,,0,37.75%,2550,90.48%,302800,260,Nymble,,0,
47,Charmander,,4,♂,236,52,7,0,7,31.1,10.0,10.0,,,,"2026-09-25 00:35","2026-09-25 00:35",,,,0,0,0,1000,70.38%,1214,95.68%,35000,163,Charizard,Normal,0,25.13%,3067,94.94%,196000,323,Charizard,Normal,0,72.41%,1131,94.18%,4600,31,Charmeleon,,0,
48,Charmander,,4,,238,53,2,8,9,42.2,10.0,10.0,,,,"2026-09-25 00:35","2026-09-25 00:35",,,,0,0,0,1000,92.89%,292,97.82%,302000,311,Charmeleon,,0,80.56%,797,97.09%,188000,313,Charizard,Normal,0,94.21%,238,96.20%,40000,42,Charmander,,0,
49,Charmander,,4,♀,242,52,13,12,14,86.7,9.0,9.0,,,,"2026-09-25 00:35","2026-09-25 00:35",,,,0,0,0,1000,80.98%,780,96.27%,29800,159,Charizard,Normal,0,63.05%,1514,96.34%,128000,245,Charizard,Normal,0,26.84%,2997,90.99%,3000,28,Charmeleon,,0,
50,Pikachu,Normal,25,♂,244,51,9,10,10,64.4,10.0,10.0,,,,"2026-09-25 00:35","2026-09-25 00:35",,,,0,0,0,1000,83.10%,693,96.10%,70000,119,Raichu,Normal,0,78.32%,889,91.54%,510000,336,Raichu,Normal,0,36.26%,2611,91.06%,35000,38,Pikachu,Normal,0,
51,Weedle,,13,♀,255,75,14,13,4,68.9,21.0,21.0,,,,"2026-09-25 00:35","2026-09-25 00:35",,,,0,0,0,2500,21.54%,3214,93.70%,65000,120,Beedrill,Normal,0,86.32%,561,92.16%,470000,306,Beedrill,Normal,0,92.43%,311,90.92%,470000,244,Weedle,,0,
52,Lapras,,131,♂,263,71,15,6,1,48.9,4.0,4.0,,,,"2026-09-25 00:35","2026-09-25 00:35",,,,0,0,0,400,1.56%,4032,91.79%,45900,52,Lapras,,0,2.71%,3985,93.13%,258400,283,Lapras,,0,50.04%,2047,91.40%,3200,6,Lapras,,0,
53,Pidove,,519,♀,265,72,4,4,13,46.7,13.0,13.0,,,,"2026-09-25 00:34","2026-09-25 00:34",,,,0,0,0,1600,33.09%,2741,94.05%,30300,92,Unfezant,,0,61.47%,1579,96.67%,242800,323,Unfezant,,0,87.99%,493,95.88%,55300,53,Pidove,,0,
54,Shelmet,,616,♀,265,70,4,14,10,62.2,13.0,13.0,,,,"2026-09-25 00:34","2026-09-25 00:34",,,,0,0,0,1600,69.04%,1269,95.80%,41800,241,Accelgor,,0,97.29%,112,98.66%,416800,476,Accelgor,,0,94.53%,225,96.77%,55300,53,Shelmet,,0,
55,Fuecoco,,909,,267,73,2,3,8,28.9,10.0,10.0,,,,"2026-09-25 00:34","2026-09-25 00:34",,,,0,0,0,1000,83.25%,687,96.84%,132000,149,Crocalor,,0,66.54%,1371,96.67%,158000,277,Skeledirge,,0,72.80%,1115,94.18%,27800,32,Fuecoco,,0,
56,Litten,,725,,273,60,10,7,15,71.1,10.0,10.0,,,,"2026-09-25 00:34","2026-09-25 00:34",,,,0,0,0,1000,50.65%,2022,94.93%,172000,193,Torracat,,0,70.09%,1226,96.72%,120000,237,Incineroar,,0,49.38%,2074,92.18%,25600,30,Litten,,0,
57,Pidove,,519,♀,269,68,10,12,10,71.1,12.0,12.0,,,,"2026-09-25 00:34","2026-09-25 00:34",,,,0,0,0,1300,87.06%,531,96.73%,30400,94,Unfezant,,0,65.93%,1396,96.83%,191400,254,Unfezant,,0,51.38%,1992,92.79%,41400,42,Pidove,,0,
58,Pidgey,,16,♀,273,67,11,14,10,77.8,15.0,15.0,,,,"2026-09-25 00:34","2026-09-25 00:34",,,,0,0,0,1900,73.28%,1095,95.84%,56400,113,Pidgeot,Normal,0,95.14%,200,95.00%,496400,330,Pidgeot,Normal,0,40.59%,2434,90.60%,68400,62,Pidgey,,0,
59,Gossifleur,,829,♀,281,67,15,14,10,86.7,15.0,15.0,,,,"2026-09-25 00:34","2026-09-25 00:34",,,,0,0,0,1900,23.79%,3122,93.21%,64400,108,Eldegoss,,0,97.88%,88,96.75%,496400,318,Eldegoss,,0,26.20%,3023,89.25%,64400,58,Gossifleur,,0,
60,Pikachu,Normal,25,♀,282,55,2,3,4,20.0,13.0,13.0,,,,"2026-09-25 00:34","2026-09-25 00:34",,,,0,0,0,1600,76.83%,950,95.69%,79300,124,Raichu,Normal,0,4.86%,3897,81.46%,502800,326,Raichu,Normal,0,69.94%,1232,93.43%,44800,44,Pikachu,Normal,0,
61,Mew,,151,♂,423,66,12,13,5,66.7,5.0,5.0,,,,"2026-09-25 00:34","2026-09-25 00:34",,,,0,0,0,1300,33.63%,2719,94.20%,26900,34,Mew,,0,23.47%,3135,94.65%,94100,94,Mew,,0,41.05%,2415,87.32%,600,1,Mew,,0,
62,Cottonee,,546,♂,288,72,7,13,15,77.8,16.0,16.0,,,,"2026-09-25 00:34","2026-09-25 00:34",,,,0,0,0,1900,74.41%,1049,95.82%,64600,108,Whimsicott,,0,93.06%,285,94.53%,492600,314,Whimsicott,,0,69.28%,1259,93.32%,69100,62,Cottonee,,0,
63,Tinkatink,,957,,292,71,3,13,7,51.1,14.0,14.0,,,,"2026-09-25 00:34","2026-09-25 00:34",,,,0,0,0,1600,89.06%,449,97.28%,59600,180,Tinkaton,,0,48.40%,2114,90.55%,499600,397,Tinkaton,,0,76.34%,970,94.46%,45100,43,Tinkatink,,0,
64,Tinkatink,,957,♀,294,73,5,7,10,48.9,14.0,14.0,,,,"2026-09-25 00:34","2026-09-25 00:34",,,,0,0,0,1600,86.74%,544,97.07%,59600,180,Tinkaton,,0,44.05%,2292,90.10%,499600,397,Tinkaton,,0,76.02%,983,94.80%,3200,29,Tinkatuff,,0,
65,Pidgey,,16,♂,297,73,3,12,10,55.6,18.0,18.0,,,,"2026-09-25 00:34","2026-09-25 00:34",,,,0,0,0,800,63.64%,1490,95.33%,52400,108,Pidgeot,Normal,0,63.54%,1494,89.63%,484400,318,Pidgeot,Normal,0,92.77%,297,95.96%,89400,78,Pidgey,,0,
66,Wooloo,,831,♀,299,71,14,15,15,97.8,15.0,15.0,,,,"2026-09-25 00:34","2026-09-25 00:34",,,,0,0,0,1900,57.39%,1746,95.20%,45400,92,Dubwool,,0,99.95%,3,99.43%,496400,318,Dubwool,,0,53.55%,1903,92.32%,52400,48,Wooloo,,0,
67,Paras,,46,,300,55,4,6,9,42.2,12.0,12.0,,,,"2026-09-25 00:34","2026-09-25 00:34",,,,0,0,0,1300,74.31%,1053,96.34%,139400,180,Parasect,,0,33.48%,2725,85.52%,505400,330,Parasect,,0,86.11%,570,94.92%,30400,32,Paras,,0,
68,Magnemite,,81,,305,41,2,5,11,40.0,9.0,9.0,,,,"2026-09-25 00:34","2026-09-25 00:34",,,,0,0,0,1000,68.45%,1293,95.50%,54000,81,Magneton,,0,72.43%,1130,96.77%,454000,313,Magneton,,0,78.32%,889,94.71%,14000,18,Magnemite,,0,
69,Taillow,,276,♂,306,67,12,4,7,51.1,16.0,16.0,,,,"2026-09-25 00:34","2026-09-25 00:34",,,,0,0,0,1900,19.49%,3298,93.28%,87600,128,Swellow,,0,47.59%,2147,86.87%,492600,314,Swellow,,0,16.80%,3408,89.26%,56600,50,Taillow,,0,
70,Pawmi,,921,♀,307,79,3,9,2,31.1,21.0,21.0,,,,"2026-09-25 00:34","2026-09-25 00:34",,,,0,0,0,2500,80.73%,790,96.73%,6000,131,Pawmot,,0,51.65%,1981,96.24%,308000,369,Pawmot,,0,71.70%,1160,93.11%,182000,190,Pawmi,,0,
71,Wattrel,,940,♂,312,64,7,4,1,26.7,16.0,16.0,,,,"2026-09-25 00:34","2026-09-25 00:34",,,,0,0,0,1900,52.63%,1941,94.58%,41600,88,Kilowattrel,,0,11.72%,3616,93.17%,492600,314,Kilowattrel,,0,30.79%,2835,90.71%,52600,47,Wattrel,,0,
72,Lechonk,,915,♂,323,91,0,3,9,26.7,20.0,20.0,,,,"2026-09-25 00:34","2026-09-25 00:34",,,,0,0,0,2500,71.75%,1158,96.08%,14000,63,Oinkologne,Male,0,79.17%,854,97.39%,376000,298,Oinkologne,Male,0,86.79%,542,95.13%,91000,80,Lechonk,,0,
73,Fidough,,926,♂,324,55,15,15,5,77.8,12.0,12.0,,,,"2026-09-25 00:34","2026-09-25 00:34",,,,0,0,0,1300,6.76%,3819,91.68%,65400,113,Dachsbun,,0,91.48%,350,94.16%,505400,330,Dachsbun,,0,41.49%,2397,91.54%,23200,26,Fidough,,0,
74,Quaxly,,912,♂,325,67,15,13,6,75.6,11.0,11.0,,,,"2026-09-25 00:34","2026-09-25 00:34",,,,0,0,0,1300,33.87%,2709,94.51%,118000,135,Quaxwell,,0,16.51%,3420,94.68%,103000,223,Quaquaval,,0,8.77%,3737,89.44%,17300,22,Quaxly,,0,
75,Mankey,,56,♂,328,60,0,0,11,24.4,12.0,12.0,,,,"2026-09-25 00:34","2026-09-25 00:34",,,,0,0,0,1300,95.97%,166,98.14%,21000,174,Annihilape,,0,94.80%,214,98.14%,105400,248,Annihilape,,0,65.96%,1395,93.48%,21000,24,Mankey,,0,
76,Beldum,,374,,330,63,10,6,11,60.0,13.0,13.0,,,,"2026-09-25 00:34","2026-09-25 00:34",,,,0,1,0,1921,89.04%,450,97.36%,5763,134,Metagross,Normal,1,52.58%,1943,95.81%,62168,197,Metagross,Normal,1,48.06%,2128,92.27%,30364,39,Beldum,,1,
77,Wattrel,,940,♀,330,68,11,11,12,75.6,15.0,15.0,,,,"2026-09-25 00:34","2026-09-25 00:34",,,,0,0,0,1900,48.25%,2120,94.40%,32400,80,Kilowattrel,,0,58.44%,1703,95.84%,346400,318,Kilowattrel,,0,54.75%,1854,92.46%,35400,33,Wattrel,,0,
78,Cyndaquil,,155,♀,334,62,2,9,8,42.2,14.0,14.0,,,,"2026-09-25 00:34","2026-09-25 00:34",,,,0,0,0,1600,75.92%,987,96.40%,280600,297,Quilava,,0,77.97%,903,96.97%,177600,299,Typhlosion,Normal,0,70.28%,1218,93.61%,27100,26,Cyndaquil,,0,
79,Wattrel,,940,♀,336,68,10,15,13,84.4,15.0,15.0,,,,"2026-09-25 00:34","2026-09-25 00:34",,,,0,0,0,1900,89.67%,424,96.62%,32400,80,Kilowattrel,,0,79.15%,855,96.89%,322400,318,Kilowattrel,,0,72.16%,1141,93.80%,32400,30,Wattrel,,0,
80,Wingull,,278,♀,340,71,15,12,13,88.9,16.0,16.0,,,,"2026-09-25 00:34","2026-09-25 00:34",,,,0,0,0,1900,66.84%,1359,95.42%,48600,94,Pelipper,,0,98.95%,44,97.72%,492600,314,Pelipper,,0,63.17%,1509,92.91%,38100,35,Wingull,,0,
81,Hatenna,,856,,340,69,10,10,12,71.1,15.0,15.0,,,,"2026-09-25 00:34","2026-09-25 00:34",,,,0,0,0,1900,67.52%,1331,95.54%,208400,239,Hattrem,,0,81.17%,772,97.21%,151400,267,Hatterene,,0,68.40%,1295,93.73%,32400,30,Hatenna,,0,
82,Sprigatito,,906,♂,341,63,5,14,11,66.7,13.0,13.0,,,,"2026-09-25 00:34","2026-09-25 00:34",,,,0,0,0,1600,94.77%,215,97.62%,25300,151,Meowscarada,,0,82.81%,705,97.35%,164800,283,Meowscarada,,0,96.68%,137,96.92%,22800,24,Sprigatito,,0,
83,Swirlix,,684,♂,342,71,14,5,4,51.1,11.0,11.0,,,,"2026-09-25 00:34","2026-09-25 00:34",,,,0,0,0,1300,1.98%,4015,91.31%,64000,114,Slurpuff,,0,53.06%,1923,89.01%,508000,334,Slurpuff,,0,19.22%,3309,89.92%,15400,20,Swirlix,,0,
84,Smoliv,,928,♂,344,66,14,10,8,71.1,15.0,15.0,,,,"2026-09-25 00:34","2026-09-25 00:34",,,,0,0,0,1900,74.75%,1035,94.89%,424400,293,Dolliv,,0,31.89%,2790,95.35%,106400,219,Arboliva,,0,14.58%,3499,89.13%,29400,27,Smoliv,,0,
85,Spearow,,21,♂,344,72,0,1,2,6.7,20.0,20.0,,,,"2026-09-25 00:33","2026-09-25 00:33",,,,0,0,0,2500,64.66%,1448,95.36%,97000,136,Fearow,,0,0.44%,4078,77.47%,475000,298,Fearow,,0,57.22%,1753,92.23%,65000,58,Spearow,,0,
86,Fletchling,,661,♀,348,80,1,3,10,31.1,19.0,19.0,,,,"2026-09-25 00:33","2026-09-25 00:33",,,,0,0,0,2500,96.46%,146,98.22%,52000,171,Talonflame,,0,13.41%,3547,84.08%,480000,377,Talonflame,,0,71.89%,1152,93.48%,52000,46,Fletchling,,0,
